,Translation,Article,Noun
366,Material,Der,Stoff
367,Playa,Der,Strand
368,Electricidad,Der,Strom
369,Estudiante,Der,Student
370,Silla,Der,Stuhl
371,Supermercado,Der,Supermarkt
372,Té,Der,Tee
373,Arte,Der,Teil
374,Plato,Der,Teller
375,Alfombra,Der,Teppich
376,Cita,Der,Termin
377,Prueba,Der,Test
378,Propina,Der,Tipp
379,Mesa,Der,Tisch
380,Pote,Der,Topf
381,Turista,Der,Tourist
382,Torre,Der,Turm
383,Accidente,Der,Unfall
384,Clases,Der,Unterricht
385,Desnivel,Der,Unterschied
386,Vacaciones,Der,Urlaub
387,Padre,Der,Vater
388,Club,Der,Verein
389,Vendedor,Der,Verkäufer
390,Tráfico,Der,Verkehr
391,Locatario,Der,Vermieter
392,Contrato De Alquiler,Der,Vertrag
393,Pariente,Der,Verwandte
394,Ave,Der,Vogel
395,Nombre,Der,Vorname
396,Vehículo,Der,Wagen
397,Bosque,Der,Wald
398,Vía,Der,Weg
399,Vino,Der,Wein
400,Viento,Der,Wind
401,Deseo,Der,Wunsch
402,Diente,Der,Zahn
403,Nota,Der,Zettel
404,Aduana,Der,Zoll
405,Conocido,Der,Bekannte
406,Salida,Die,Abfahrt
407,Salida,Die,Abfahrten
408,Remitente,Die,Absender
409,Dirección,Die,Adresse
410,Dirección,Die,Adressen
411,Comienzo,Die,Anfänge
412,Oferta,Die,Angebote
413,Llegada,Die,Ankunft
414,Llegada,Die,Ankünfte
415,Registro,Die,Anmeldung
416,Registro,Die,Anmeldungen
417,Tratamiento,Die,Anrede
418,Tratamiento,Die,Anreden
419,Llamada,Die,Anrufe
420,Anuncio,Die,Ansage
421,Respuesta,Die,Antwort
422,Anuncio,Die,Anzeige
423,Trabajo,Die,Arbeit
424,Tarea,Die,Aufgabe
425,Despegue,Die,Ausflüge
426,Información,Die,Auskunft
427,Declaración,Die,Aussage
428,Autopista,Die,Autobahn
429,Panadería,Die,Bäckerei
430,Tren,Die,Bahn
431,Banana,Die,Banane
432,Banco,Die,Bank
433,Pera,Die,Birne
434,Favor,Die,Bitte
435,Flor,Die,Blume
436,Estampilla,Die,Briefmarke
437,Manteca,Die,Butter
438,Cd,Die,Cd
439,Crema,Die,Creme
440,Dama,Die,Dame
441,Duración,Die,Dauer
442,Discoteca,Die,Disco
443,Lata,Die,Dose
444,Anuncio,Die,Durchsage
445,Ducha,Die,Dusche
446,Email,Die,E-Mail
447,Esquina,Die,Ecke
448,Esposa,Die,Ehefrau
449,Introducción,Die,Einführung
450,Invitación,Die,Einladung
451,Padres,Die,Eltern
452,Nieta,Die,Enkelin
453,Disculpa,Die,Entschuldigung
454,Experencia,Die,Erfahrung
455,Permiso,Die,Erlaubnis
456,Rebaja,Die,Ermäßigung
457,Fábrica,Die,Fabrik
458,Ferry,Die,Fähre
459,Boleto,Die,Fahrkarte
460,Familia,Die,Familie
461,Color,Die,Farbe
462,Vacaciones,Die,Ferien
463,Bomberos,Die,Feuerwehr
464,Empresa,Die,Firma
465,Botella,Die,Flasche
466,Pregunta,Die,Frage
467,Mujer,Die,Frau
468,Tiempo Libre,Die,Freizeit
469,Plazo,Die,Frist
470,Guía,Die,Führung
471,Tenedor,Die,Gabel
472,Garaje,Die,Garage
473,Garantia,Die,Garantie
474,Cuota,Die,Gebühr
475,Cartera,Die,Geldbörse
476,Hermanos,Die,Geschwister
477,Frontera,Die,Grenze
478,Gripe,Die,Grippe
479,Tamaño,Die,Größe
480,Abuelos,Die,Großeltern
481,Abuela,Die,Großmutter
482,Grupo,Die,Gruppe
483,Media Pensión,Die,Halbpension
484,Sala,Die,Halle
485,Parada,Die,Haltestelle
486,Mano,Die,Hand
487,Tarea,Die,Hausaufgabe
488,Empleada Domestica,Die,Hausfrau
489,Patria,Die,Heimat
490,Calefacción,Die,Heizung
491,Ayuda,Die,Hilfe
492,Boda,Die,Hochzeit
493,Pantalón,Die,Hose
494,Idea,Die,Idee
495,Industria,Die,Industrie
496,Información,Die,Information
497,Campera,Die,Jacke
498,Cámara,Die,Kamera
499,Jarra,Die,Kanne
500,Tarjeta,Die,Karte
501,Papa,Die,Kartoffel
502,Caja,Die,Kasse
503,Cassette,Die,Kassette
504,Gato,Die,Katze
505,Conocimientos,Die,Kenntnisse
506,Collar,Die,Kette
507,Iglesia,Die,Kirche
508,Clase,Die,Klasse
509,Ropa,Die,Kleidung
510,Pub,Die,Kneipe
511,Control,Die,Kontrolle
512,Cosmetico,Die,Kosmetik
513,Seguro Medico,Die,Krankenkasse
514,Enfermedad,Die,Krankheit
515,Tarjeta De Crédito,Die,Kreditkarte
516,Encrucijada,Die,Kreuzung
517,Cocina,Die,Küche
518,Terminación,Die,Kündigung
519,Lámpara,Die,Lampe
520,Paisaje,Die,Landschaft
521,Alimentos,Die,Lebensmittel
522,Enseñanza,Die,Lehre
523,Gente,Die,Leute
524,Solución,Die,Lösung
525,Aire,Die,Luft
526,Deseo,Die,Lust
527,Máquina,Die,Maschine
528,Valor Agregado,Die,Mehrwertsteuer
529,Opinión,Die,Meinung
530,Cantidad,Die,Menge
531,Alquiler,Die,Miete
532,Leche,Die,Milch
533,Mitad,Die,Mitte
534,Comunicado,Die,Mitteilung
535,Muebles,Die,Möbel
536,Moda,Die,Mode
537,Bote De Basura,Die,Mülltonne
538,Música,Die,Musik
539,Madre,Die,Mutter
540,Noticias,Die,Nachrichten
541,Cercanía,Die,Nähe
542,Naturaleza,Die,Natur
543,Nota,Die,Note
544,Apunte,Die,Notiz
545,Fideo,Die,Nudel
546,Número,Die,Nummer
547,Abuela,Die,Oma
548,Operación,Die,Operation
549,Naranja,Die,Orange
550,Órden,Die,Ordnung
551,Desglose,Die,Panne
552,Documentación,Die,Papiere
553,Compañera,Die,Partnerin
554,Fiesta,Die,Party
555,Pausa,Die,Pause
556,Jubilación,Die,Pension
557,Policía,Die,Polizei
558,Papas Fritas,Die,Pommesfrites
559,Correo,Die,Post
560,Código Postal,Die,Postleitzahl
561,Consultorio,Die,Praxis
562,Exámen,Die,Prüfung
563,Calidad,Die,Qualität
564,Recibo,Die,Quittung
565,Cuenta,Die,Rechnung
566,Limpieza,Die,Reinigung
567,Viaje,Die,Reise
568,Arreglo,Die,Reparatur
569,Recepción,Die,Rezeption
570,Rosa,Die,Rose
571,Tren Metropolitano,Die,S-Bahn
572,Cosa,Die,Sache
573,Dolor,Die,Schmerzen
574,Chocolate,Die,Schokolade
575,Colegio,Die,Schule
576,Hermana,Die,Schwester
577,Atracción,Die,Sehenswürdigkeit
578,Jabón,Die,Seife
579,Secretaria,Die,Sekretärin
580,Trasmisión,Die,Sendung
581,Adultos,Die,Senioren(Pl.)
582,Sol,Die,Sonne
583,Preocupación,Die,Sorge
584,Menú,Die,Speisekarte
585,Lengua,Die,Sprache
586,Consulta,Die,Sprechstunde
587,Lavavajillas,Die,Spülmaschine
588,Ciudad,Die,Stadt
589,Lugar,Die,Stelle
590,Impuesto,Die,Steuer
591,Calle,Die,Straße
592,Tranvía,Die,Straßenbahn
593,Hora,Die,Stunde
594,Sopa,Die,Suppe
595,Gasolinera,Die,Tankstelle
596,Bolsa,Die,Tasche
597,Taza,Die,Tasse
598,Hija,Die,Tochter
599,Baño,Die,Toilette
600,Tomate,Die,Tomate
601,Escalera,Die,Treppe
602,Puerta,Die,Tür
603,Bolso,Die,Tüte
604,Subte,Die,U-Bahn
605,Reloj,Die,Uhr
606,Universidad,Die,Universität
607,Alojamiento,Die,Unterkunft
608,Firma,Die,Unterschrift
609,Investigación,Die,Untersuchung
610,Conexión,Die,Verbindung
611,Seguro,Die,Versicherung
612,Retraso,Die,Verspätung
613,Atención,Die,Vorsicht
614,Característica,Die,Vorwahl
615,Lavandería,Die,Wäsche
616,Mundo,Die,Welt
617,Taller,Die,Werkstatt
618,Economía,Die,Wirtschaft
619,Departamento,Die,Wohnung
620,Nube,Die,Wolke
621,Salchicha,Die,Wurst
622,Número,Die,Zahl
623,Tiempo,Die,Zeit
624,Revista,Die,Zeitschrift
625,Periódico,Die,Zeitung
626,Cigarillo,Die,Zigarette
627,Limón,Die,Zitrone
