Article,Noun,Translation
das,Handy,celular
das,Haus,casa
das,Hemd,camisa
das,Herz,corazón
das,Hobby,pasatiempo
das,Holz,madera
das,Hotel,hotel
das,Internet,internet
das,KFZ,vehículo
das,Kind,niñx
das,Kino,cine
das,Kleid,vestido
das,Konsulat,consulado
das,Konto,cuenta
das,Lager,depósito
das,Land,país
das,Leben,vida
das,Licht,luz
das,Lied,canción
das,Loch,agujero
das,Lokal,local
das,Mädchen,chica
das,Mal,vez
das,Material,material
das,Medikament,medicamento
das,Meer,mar
das,Messer,cuchillo
das,Metall,metal
das,Mittel,mitad
das,Museum,museo
das,Obst,fruta
das,Öl,aceite
das,Päckchen,envoltorio
das,Paket,paquete
das,Papier,papel
das,Parfüm,perfume
das,Plastik,plástico
das,Praktikum,pasantías
das,Problem,problema
das,Produkt,producto
das,Programm,programa
das,Radio,radio
das,Rathaus,ayuntamiento
das,Reisebüro,agencia de viaje
das,Restaurant,restaurante
das,Rezept,receta
das,Rind,carne vacuna
das,Salz,sal
das,Schiff,enbarcación
das,Schild,cartel
das,Schloss,candado
das,Schwein,cerdo
das,Schwimmbad,picina
das,Sofa,sofá
das,Sonderangebot,oferta
das,Standesamt,oficina de Registro
das,Streichholz,fósforo
das,Stück,pedazo
das,Studium,carrera
das,Taxi,taxi
das,Telefon,teléfono
das,Telefonbuch,directorio telefónico
das,Theater,teatro
das,Thema,tema
das,Ticket,boleto
das,Tier,animal
das,Trinkgeld,propina
das,Video,video
das,Wasser,agua
das,Werkzeug,herramienta
das,Wetter,tiempo
das,Wiederhören,adiós
das,Wiedersehen,adiós
das,Wort,palabra
das,Zentrum,centro
das,Zeugnis,nota
das,Zimmer,habitación
die,Daten,fechas
der,Abflug,despegue
der,Absender,remitente
der,Anfang,comienzo
der,Anruf,llamada
der,Anrufbeantworter,contestador
der,Anschluss,conexción
der,Apfel,manzana
der,Appetit,apetito
der,Arbeitsplatz,empleo
der,Arm,brazo
der,Arzt,médico
der,Aufzug,ascensor
der,Ausflug,excursión
der,Ausgang,salida
der,Ausländer,extranjero
der,Ausweis,identificación
der,Automat,cajero
der,Bahnhof,estación de trenes
der,Bahnsteig,andén
der,Balkon,balcón
der,Bauch,barriga
der,Baum,árbol
der,Beamte,funcionario
der,Beruf,profesión
der,Bleistift,lápiz
der,Blick,mirada
der,Bogen,arco
der,Brief,carta
der,Buchstabe,letra
der,Chef,jefe
der,Computer,computadora
der,Dank,agradecimiento
der,Diesel,el gasóleo
der,Doktor,doctor
der,Drucker,impresora
der,Durst,sed
der,Ehemann,esposo
der,Eingang,entrada
der,Eintritt,entrada
der,Einwohner,habitante
der,Empfang,recepción
der,Empfänger,destinario
der,Enkel,nieto
der,Erwachsene,adulto
der,Export,exportación
der,Fahrer,conductor
der,Fahrplan,horario
der,Familienname,apellido
der,Familienstand,estado civil
der,Fehler,error
der,Feierabend,fin de jornada laboral
der,Feiertag,feriado
der,Film,película
der,Fisch,pez
der,Flughafen,aeropuerto
der,Flur,pasillo
der,Fluss,río
der,Fotoapparat,Camara
der,Freund,amigo
der,Führerschein,licencia
der,Fuß,pie
der,Fußball,pelota
der,Garten,jardín
der,Gast,invitado
der,Geburtsort,lugar de nacimiento
der,Geburtstag,cumpleaños
der,Geldautomat,cajero
der,Glückwunsch,felicitaciones
der,Großvater,abuelo
der,Gruß,saludo
der,Hals,cuello
der,Haushalt,hogar
der,Hausmann,amo de casa
der,Herd,cocina
der,Herr,señor
der,Hund,perro
der,Hunger,hambre
der,Import,importación
der,Inhalt,contenido
der,Job,trabajo
der,Jugendliche,adolecente
der,Junge,chico
der,Kaffee,café
der,Kalender,calendario
der,Käse,queso
der,Kassettenrecorder,reproductor
der,Keller,sótano
der,Kellner,mozo
der,Kindergarten,jardín infantil
der,Kinderwagen,cochecito (pram)
der,Kiosk,quiosco
der,Koffer,valija
der,Kollege,colega
der,Kontakt,contacto
der,Kopf,cabeza
der,Körper,cuerpo
der,Kredit,crédito
der,Kreis,cíclo
der,Kuchen,pastel
der,Kugelschreiber,birome
der,Kühlschrank,heladera
der,Kunde,cliente
der,Kurs,curso
der,Laden,tienda
der,Lehrer,maestro
der,Lastkrafwagen,camión
der,Löffel,cuchara
der,Lohn,sueldo
der,Magen,estómago
der,Mann,hombre
der,Mantel,campera
der,Markt,mercado
der,Mechaniker,mecánico
der,Mensch,hombre
der,Moment,momento
der,Motor,motor
der,Müll,residuos
der,Mund,boca
der,Nachbar,vecino
der,Name,nombre
der,Nebel,neblina
der,Notarzt,médico
der,Notfall,emergencia
der,Ober,aceite
der,Opa,abuelo
der,Ort,sitio
der,Park,parque
der,Partner,compañero
der,Pass,pasaporte
der,Personenkraftwagen,coche
der,Plan,plan
der,Platz,plaza
der,Preis,precio
der,Prospekt,folleto
der,Pullover,pullover
der,Rabatt,descuento
der,Raucher,fumador
der,Raum,cuarto
der,Regen,lluvia
der,Reifen,maduro
der,Reis,arroz
der,Reiseführer,guía turístico
der,Rock,pollera
der,Rücken,parte trasera
der,Rundgang,excursión
der,Saft,jugo
der,Salat,ensalada
der,Satz,oración
der,Schalter,mostrador
der,Schinken,jamón
der,Schirm,pantalla
der,Schluss,cierre
der,Schlüssel,llave
der,Schnee,nieve
der,Schnupfen,resfriado
der,Schrank,armario
der,Schuh,zapato
der,Schüler,alumno
der,See,lago
der,Service,servicio
der,Sessel,sillón
der,Sohn,hijo
der,Spaß,diversión
der,Spaziergang,caminata
der,Spielplatz,patio de juego
der,Sport,deporte
der,Stock,planta
der,Stoff,material
der,Strand,playa
der,Strom,electricidad
der,Student,estudiante
der,Stuhl,silla
der,Supermarkt,supermercado
der,Tee,té
der,Teil,arte
der,Teller,plato
der,Teppich,alfombra
der,Termin,cita
der,Test,prueba
der,Tipp,propina
der,Tisch,mesa
der,Topf,pote
der,Tourist,turista
der,Turm,torre
der,Unfall,accidente
der,Unterricht,clases
der,Unterschied,desnivel
der,Urlaub,vacaciones
der,Vater,padre
der,Verein,club
der,Verkäufer,vendedor
der,Verkehr,tráfico
der,Vermieter,locatario
der,Vertrag,contrato de alquiler
der,Verwandte,pariente
der,Vogel,ave
der,Vorname,nombre
der,Wagen,vehículo
der,Wald,bosque
der,Weg,vía
der,Wein,vino
der,Wind,viento
der,Wunsch,deseo
der,Zahn,diente
der,Zettel,nota
der,Zoll,aduana
der,Bekannte,conocido
die,Abfahrt,salida
die,Abfahrten,salida
die,Absender,remitente
die,Adresse,dirección
die,Adressen,dirección
die,Anfänge,comienzo
die,Angebote,oferta
die,Ankunft,llegada
die,Ankünfte,llegada
die,Anmeldung,registro
die,Anmeldungen,registro
die,Anrede,tratamiento
die,Anreden,tratamiento
die,Anrufe,llamada
die,Ansage,anuncio
die,Antwort,respuesta
die,Anzeige,anuncio
die,Arbeit,trabajo
die,Aufgabe,tarea
die,Ausflüge,despegue
die,Auskunft,información
die,Aussage,declaración
die,Autobahn,autopista
die,Bäckerei,panadería
die,Bahn,tren
die,Banane,banana
die,Bank,banco
die,Birne,pera
die,Bitte,favor
die,Blume,flor
die,Briefmarke,estampilla
die,Butter,manteca
die,CD,cd
die,Creme,crema
die,Dame,dama
die,Dauer,duración
die,Disco,discoteca
die,Dose,lata
die,Durchsage,anuncio
die,Dusche,ducha
die,E-Mail,email
die,Ecke,esquina
die,Ehefrau,esposa
die,Einführung,introducción
die,Einladung,invitación
die,Eltern,padres
die,Enkelin,nieta
die,Entschuldigung,disculpa
die,Erfahrung,experencia
die,Erlaubnis,permiso
die,Ermäßigung,rebaja
die,Fabrik,fábrica
die,Fähre,ferry
die,Fahrkarte,boleto
die,Familie,familia
die,Farbe,color
die,Ferien,vacaciones
die,Feuerwehr,bomberos
die,Firma,empresa
die,Flasche,botella
die,Frage,pregunta
die,Frau,mujer
die,Freizeit,tiempo libre
die,Frist,plazo
die,Führung,guía
die,Gabel,tenedor
die,Garage,garaje
die,Garantie,garantia
die,Gebühr,cuota
die,Geldbörse,cartera
die,Geschwister,hermanos
die,Grenze,frontera
die,Grippe,gripe
die,Größe,tamaño
die,Großeltern,abuelos
die,Großmutter,abuela
die,Gruppe,grupo
die,Halbpension,media pensión
die,Halle,sala
die,Haltestelle,parada
die,Hand,mano
die,Hausaufgabe,tarea
die,Hausfrau,empleada domestica
die,Heimat,patria
die,Heizung,calefacción
die,Hilfe,ayuda
die,Hochzeit,boda
die,Hose,pantalón
die,Idee,idea
die,Industrie,industria
die,Information,información
die,Jacke,campera
die,Kamera,cámara
die,Kanne,jarra
die,Karte,tarjeta
die,Kartoffel,papa
die,Kasse,caja
die,Kassette,cassette
die,Katze,gato
die,Kenntnisse,conocimientos
die,Kette,collar
die,Kirche,iglesia
die,Klasse,clase
die,Kleidung,ropa
die,Kneipe,pub
die,Kontrolle,control
die,Kosmetik,cosmetico
die,Krankenkasse,seguro medico
die,Krankheit,enfermedad
die,Kreditkarte,tarjeta de crédito
die,Kreuzung,encrucijada
die,Küche,cocina
die,Kündigung,terminación
die,Lampe,lámpara
die,Landschaft,paisaje
die,Lebensmittel,alimentos
die,Lehre,enseñanza
die,Leute,gente
die,Lösung,solución
die,Luft,aire
die,Lust,deseo
die,Maschine,máquina
die,Mehrwertsteuer,valor agregado
die,Meinung,opinión
die,Menge,cantidad
die,Miete,alquiler
die,Milch,leche
die,Mitte,mitad
die,Mitteilung,comunicado
die,Möbel,muebles
die,Mode,moda
die,Mülltonne,bote de basura
die,Musik,música
die,Mutter,madre
die,Nachrichten,noticias
die,Nähe,cercanía
die,Natur,naturaleza
die,Note,nota
die,Notiz,apunte
die,Nudel,fideo
die,Nummer,número
die,Oma,abuela
die,Operation,operación
die,Orange,naranja
die,Ordnung,órden
die,Panne,desglose
die,Papiere,documentación
die,Partnerin,compañera
die,Party,fiesta
die,Pause,pausa
die,Pension,jubilación
die,Polizei,policía
die,PommesFrites,papas fritas
die,Post,correo
die,Postleitzahl,código postal
die,Praxis,consultorio
die,Prüfung,exámen
die,Qualität,calidad
die,Quittung,recibo
die,Rechnung,cuenta
die,Reinigung,limpieza
die,Reise,viaje
die,Reparatur,arreglo
die,Rezeption,recepción
die,Rose,rosa
die,S-Bahn,tren metropolitano
die,Sache,cosa
die,Schmerzen,dolor
die,Schokolade,chocolate
die,Schule,colegio
die,Schwester,hermana
die,Sehenswürdigkeit,atracción
die,Seife,jabón
die,Sekretärin,secretaria
die,Sendung,trasmisión
die,Senioren(pl.),adultos
die,Sonne,sol
die,Sorge,preocupación
die,Speisekarte,menú
die,Sprache,lengua
die,Sprechstunde,consulta
die,Spülmaschine,lavavajillas
die,Stadt,ciudad
die,Stelle,lugar
die,Steuer,impuesto
die,Straße,calle
die,Straßenbahn,tranvía
die,Stunde,hora
die,Suppe,sopa
die,Tankstelle,gasolinera
die,Tasche,bolsa
die,Tasse,taza
die,Tochter,hija
die,Toilette,baño
die,Tomate,tomate
die,Treppe,escalera
die,Tür,puerta
die,Tüte,bolso
die,U-Bahn,subte
die,Uhr,reloj
die,Universität,universidad
die,Unterkunft,alojamiento
die,Unterschrift,firma
die,Untersuchung,investigación
die,Verbindung,conexión
die,Versicherung,seguro
die,Verspätung,retraso
die,Vorsicht,atención
die,Vorwahl,característica
die,Wäsche,lavandería
die,Welt,mundo
die,Werkstatt,taller
die,Wirtschaft,economía
die,Wohnung,departamento
die,Wolke,nube
die,Wurst,salchicha
die,Zahl,número
die,Zeit,tiempo
die,Zeitschrift,revista
die,Zeitung,periódico
die,Zigarette,cigarillo
die,Zitrone,limón
