,Article,Noun,Translation,Traducción
148,Das,Metall,Metal,Metal
149,Das,Mittel,Half,Mitad
150,Das,Museum,Museum,Museo
151,Das,Obst,Fruit,Fruta
152,Das,Öl,Oil,Aceite
153,Das,Päckchen,Wrapper,Envoltorio
154,Das,Paket,Package,Paquete
155,Das,Papier,Paper,Papel
156,Das,Parfüm,Fragrance,Perfume
157,Das,Plastik,Plastic,Plástico
158,Das,Praktikum,Internships,Pasantías
159,Das,Problem,Problem,Problema
160,Das,Produkt,Product,Producto
161,Das,Programm,Program,Programa
162,Das,Radio,Radio,Radio
163,Das,Rathaus,Town Hall,Ayuntamiento
164,Das,Reisebüro,Travel Agency,Agencia De Viaje
165,Das,Restaurant,Restaurant,Restaurante
166,Das,Rezept,Recipe,Receta
167,Das,Rind,Beef,Carne Vacuna
168,Das,Salz,Salt,Sal
169,Das,Schiff,Boat,Enbarcación
170,Das,Schild,Poster,Cartel
171,Das,Schloss,Padlock,Candado
172,Das,Schwein,Pork,Cerdo
173,Das,Schwimmbad,Swimming Pool,Picina
174,Das,Sofa,Sofa,Sofá
175,Das,Sonderangebot,Offer,Oferta
176,Das,Standesamt,Registration Office,Oficina De Registro
177,Das,Streichholz,Match,Fósforo
178,Das,Stück,Piece,Pedazo
179,Das,Studium,Career,Carrera
180,Das,Taxi,Cab,Taxi
181,Das,Telefon,Telephone,Teléfono
182,Das,Telefonbuch,Phone Book,Directorio Telefónico
183,Das,Theater,Theater,Teatro
184,Das,Thema,Topic,Tema
185,Das,Ticket,Ticket,Boleto
186,Das,Tier,Animal,Animal
187,Das,Trinkgeld,Tip,Propina
188,Das,Video,Video,Video
189,Das,Wasser,Water,Agua
190,Das,Werkzeug,Tool,Herramienta
191,Das,Wetter,Weather,Tiempo
192,Das,Wiederhören,Goodbye,Adiós
193,Das,Wiedersehen,Goodbye,Adiós
194,Das,Wort,Word,Palabra
195,Das,Zentrum,Center,Centro
196,Das,Zeugnis,Note,Nota
197,Das,Zimmer,Room,Habitación
198,Die,Daten,Dates,Fechas
199,Der,Abflug,Takeoff,Despegue
200,Der,Absender,Sender,Remitente
201,Der,Anfang,Start,Comienzo
202,Der,Anruf,Call,Llamada
203,Der,Anrufbeantworter,Answering Machine,Contestador
204,Der,Anschluss,Connection,Conexción
205,Der,Apfel,Apple,Manzana
206,Der,Appetit,Appetite,Apetito
207,Der,Arbeitsplatz,Job,Empleo
208,Der,Arm,Arm,Brazo
209,Der,Arzt,Doctor,Médico
210,Der,Aufzug,Lift,Ascensor
211,Der,Ausflug,Excursion,Excursión
212,Der,Ausgang,Departure,Salida
213,Der,Ausländer,Foreign,Extranjero
214,Der,Ausweis,Id,Identificación
215,Der,Automat,Atm,Cajero
216,Der,Bahnhof,Train Station,Estación De Trenes
217,Der,Bahnsteig,Platform,Andén
218,Der,Balkon,Balcony,Balcón
219,Der,Bauch,Belly,Barriga
220,Der,Baum,Tree,Árbol
221,Der,Beamte,Official,Funcionario
222,Der,Beruf,Profession,Profesión
223,Der,Bleistift,Pencil,Lápiz
224,Der,Blick,Look,Mirada
225,Der,Bogen,Arc,Arco
226,Der,Brief,Letter,Carta
227,Der,Buchstabe,Lyrics,Letra
228,Der,Chef,Chief,Jefe
229,Der,Computer,Computer,Computadora
230,Der,Dank,Gratitude,Agradecimiento
231,Der,Diesel,Diesel,El Gasóleo
232,Der,Doktor,Doctor,Doctor
233,Der,Drucker,Printer,Impresora
234,Der,Durst,Thirst,Sed
235,Der,Ehemann,Husband,Esposo
236,Der,Eingang,Entry,Entrada
237,Der,Eintritt,Entry,Entrada
238,Der,Einwohner,Habitant,Habitante
239,Der,Empfang,Reception,Recepción
240,Der,Empfänger,Recipient,Destinario
241,Der,Enkel,Grandchild,Nieto
242,Der,Erwachsene,Adult,Adulto
243,Der,Export,Export,Exportación
244,Der,Fahrer,Driver,Conductor
245,Der,Fahrplan,Schedule,Horario
246,Der,Familienname,Last Name,Apellido
247,Der,Familienstand,Civil Status,Estado Civil
248,Der,Fehler,Error,Error
249,Der,Feierabend,End Of Working Day,Fin De Jornada Laboral
250,Der,Feiertag,Holiday,Feriado
251,Der,Film,Movie,Película
252,Der,Fisch,Fish,Pez
253,Der,Flughafen,Airport,Aeropuerto
254,Der,Flur,Hall,Pasillo
255,Der,Fluss,River,Río
256,Der,Fotoapparat,Camera,Camara
257,Der,Freund,Friend,Amigo
258,Der,Führerschein,License,Licencia
259,Der,Fuß,Foot,Pie
260,Der,Fußball,Ball,Pelota
261,Der,Garten,Yard,Jardín
262,Der,Gast,Invited,Invitado
263,Der,Geburtsort,Place Of Birth,Lugar De Nacimiento
264,Der,Geburtstag,Birthday,Cumpleaños
265,Der,Geldautomat,Atm,Cajero
266,Der,Glückwunsch,Congratulations,Felicitaciones
267,Der,Großvater,Grandfather,Abuelo
268,Der,Gruß,Greeting,Saludo
269,Der,Hals,Neck,Cuello
270,Der,Haushalt,Home,Hogar
271,Der,Hausmann,Househusband,Amo De Casa
272,Der,Herd,Kitchen,Cocina
273,Der,Herr,Sir,Señor
274,Der,Hund,Dog,Perro
275,Der,Hunger,Hungry,Hambre
276,Der,Import,Import,Importación
277,Der,Inhalt,Content,Contenido
278,Der,Job,Job,Trabajo
279,Der,Jugendliche,Adolescent,Adolecente
280,Der,Junge,Boy,Chico
281,Der,Kaffee,Coffee,Café
282,Der,Kalender,Calendar,Calendario
283,Der,Käse,Cheese,Queso
284,Der,Kassettenrecorder,Player,Reproductor
285,Der,Keller,Basement,Sótano
286,Der,Kellner,Waiter,Mozo
287,Der,Kindergarten,Kinder Garden,Jardín Infantil
288,Der,Kinderwagen,Stroller (Pram),Cochecito (Pram)
289,Der,Kiosk,Kiosk,Quiosco
290,Der,Koffer,Suitcase,Valija
291,Der,Kollege,Colleague,Colega
292,Der,Kontakt,Contact,Contacto
293,Der,Kopf,Head,Cabeza
294,Der,Körper,Body,Cuerpo
295,Der,Kredit,Credit,Crédito
296,Der,Kreis,Cycle,Cíclo
297,Der,Kuchen,Cake,Pastel
298,Der,Kugelschreiber,Pen,Birome
299,Der,Kühlschrank,Refrigerator,Heladera
300,Der,Kunde,Client,Cliente
301,Der,Kurs,Course,Curso
302,Der,Laden,Store,Tienda
303,Der,Lehrer,Teacher,Maestro
304,Der,Lastkrafwagen,Truck,Camión
305,Der,Löffel,Spoon,Cuchara
306,Der,Lohn,Salary,Sueldo
307,Der,Magen,Stomach,Estómago
308,Der,Mann,Man,Hombre
309,Der,Mantel,Jacket,Campera
310,Der,Markt,Market,Mercado
311,Der,Mechaniker,Mechanic,Mecánico
312,Der,Mensch,Man,Hombre
313,Der,Moment,Moment,Momento
314,Der,Motor,Motor,Motor
315,Der,Müll,Waste,Residuos
316,Der,Mund,Mouth,Boca
317,Der,Nachbar,Neighbour,Vecino
318,Der,Name,Name,Nombre
319,Der,Nebel,Fog,Neblina
320,Der,Notarzt,Doctor,Médico
321,Der,Notfall,Emergency,Emergencia
322,Der,Ober,Oil,Aceite
323,Der,Opa,Grandfather,Abuelo
324,Der,Ort,Site,Sitio
325,Der,Park,Park,Parque
326,Der,Partner,Partner,Compañero
327,Der,Pass,Passport,Pasaporte
328,Der,Personenkraftwagen,Car,Coche
329,Der,Plan,Plan,Plan
330,Der,Platz,Square,Plaza
331,Der,Preis,Price,Precio
332,Der,Prospekt,User Information,Folleto
333,Der,Pullover,Pullover,Pullover
334,Der,Rabatt,Discount,Descuento
335,Der,Raucher,Smoker,Fumador
336,Der,Raum,Fourth,Cuarto
337,Der,Regen,Rain,Lluvia
338,Der,Reifen,Mature,Maduro
339,Der,Reis,Rice,Arroz
340,Der,Reiseführer,Tour Guide,Guía Turístico
341,Der,Rock,Skirt,Pollera
342,Der,Rücken,Rear,Parte Trasera
343,Der,Rundgang,Excursion,Excursión
344,Der,Saft,Juice,Jugo
345,Der,Salat,Salad,Ensalada
346,Der,Satz,Sentence,Oración
347,Der,Schalter,Counter,Mostrador
348,Der,Schinken,Ham,Jamón
349,Der,Schirm,Screen,Pantalla
350,Der,Schluss,Closing,Cierre
351,Der,Schlüssel,Key,Llave
352,Der,Schnee,Snow,Nieve
353,Der,Schnupfen,Cold,Resfriado
354,Der,Schrank,Wardrobe,Armario
355,Der,Schuh,Shoe,Zapato
356,Der,Schüler,Student,Alumno
357,Der,See,Lake,Lago
358,Der,Service,Service,Servicio
359,Der,Sessel,Armchair,Sillón
360,Der,Sohn,Son,Hijo
361,Der,Spaß,Fun,Diversión
362,Der,Spaziergang,Hike,Caminata
363,Der,Spielplatz,Play Ground,Patio De Juego
364,Der,Sport,Sport,Deporte
365,Der,Stock,Plant,Planta
366,Der,Stoff,Material,Material
367,Der,Strand,Beach,Playa
368,Der,Strom,Electricity,Electricidad
369,Der,Student,Student,Estudiante
370,Der,Stuhl,Chair,Silla
371,Der,Supermarkt,Supermarket,Supermercado
372,Der,Tee,Tea,Té
373,Der,Teil,Art,Arte
374,Der,Teller,Plate,Plato
375,Der,Teppich,Carpet,Alfombra
376,Der,Termin,Appointment,Cita
377,Der,Test,Proof,Prueba
378,Der,Tipp,Tip,Propina
379,Der,Tisch,Table,Mesa
380,Der,Topf,Pot,Pote
381,Der,Tourist,Tourist,Turista
382,Der,Turm,Tower,Torre
383,Der,Unfall,Accident,Accidente
384,Der,Unterricht,Lessons,Clases
385,Der,Unterschied,Unevenness,Desnivel
386,Der,Urlaub,Holidays,Vacaciones
387,Der,Vater,Father,Padre
388,Der,Verein,Club,Club
389,Der,Verkäufer,Seller,Vendedor
390,Der,Verkehr,Traffic,Tráfico
391,Der,Vermieter,Tenant,Locatario
392,Der,Vertrag,Rental Contract,Contrato De Alquiler
393,Der,Verwandte,Relative,Pariente
394,Der,Vogel,Bird,Ave
395,Der,Vorname,Name,Nombre
396,Der,Wagen,Vehicle,Vehículo
397,Der,Wald,Forest,Bosque
398,Der,Weg,Via,Vía
399,Der,Wein,Came,Vino
400,Der,Wind,Wind,Viento
401,Der,Wunsch,Wish,Deseo
402,Der,Zahn,Tooth,Diente
403,Der,Zettel,Note,Nota
404,Der,Zoll,Customs,Aduana
405,Der,Bekannte,Known,Conocido
406,Die,Abfahrt,Departure,Salida
407,Die,Abfahrten,Departure,Salida
408,Die,Absender,Sender,Remitente
409,Die,Adresse,Direction,Dirección
410,Die,Adressen,Direction,Dirección
411,Die,Anfänge,Start,Comienzo
412,Die,Angebote,Offer,Oferta
413,Die,Ankunft,Arrival,Llegada
414,Die,Ankünfte,Arrival,Llegada
415,Die,Anmeldung,Registry,Registro
416,Die,Anmeldungen,Registry,Registro
417,Die,Anrede,Treatment,Tratamiento
418,Die,Anreden,Treatment,Tratamiento
419,Die,Anrufe,Call,Llamada
420,Die,Ansage,Ad,Anuncio
421,Die,Antwort,Reply,Respuesta
422,Die,Anzeige,Ad,Anuncio
423,Die,Arbeit,Job,Trabajo
424,Die,Aufgabe,Task,Tarea
425,Die,Ausflüge,Takeoff,Despegue
426,Die,Auskunft,Information,Información
427,Die,Aussage,Statement,Declaración
428,Die,Autobahn,Highway,Autopista
429,Die,Bäckerei,Bakery,Panadería
430,Die,Bahn,Train,Tren
431,Die,Banane,Banana,Banana
432,Die,Bank,Bank,Banco
433,Die,Birne,Pear,Pera
434,Die,Bitte,Favor,Favor
435,Die,Blume,Flower,Flor
436,Die,Briefmarke,Stamp,Estampilla
437,Die,Butter,Butter,Manteca
438,Die,Cd,Cd,Cd
439,Die,Creme,Cream,Crema
440,Die,Dame,Lady,Dama
441,Die,Dauer,Duration,Duración
442,Die,Disco,Discotheque,Discoteca
443,Die,Dose,Can,Lata
444,Die,Durchsage,Ad,Anuncio
445,Die,Dusche,Shower,Ducha
446,Die,E-Mail,E-Mail,Email
447,Die,Ecke,Corner,Esquina
448,Die,Ehefrau,Wife,Esposa
449,Die,Einführung,Introduction,Introducción
450,Die,Einladung,Invitation,Invitación
451,Die,Eltern,Parents,Padres
452,Die,Enkelin,Granddaughter,Nieta
453,Die,Entschuldigung,Sorry,Disculpa
454,Die,Erfahrung,Experience,Experencia
455,Die,Erlaubnis,Excuse Me,Permiso
456,Die,Ermäßigung,Reduction,Rebaja
457,Die,Fabrik,Factory,Fábrica
458,Die,Fähre,Ferry,Ferry
459,Die,Fahrkarte,Ticket,Boleto
460,Die,Familie,Family,Familia
461,Die,Farbe,Colour,Color
462,Die,Ferien,Holidays,Vacaciones
463,Die,Feuerwehr,Firefighters,Bomberos
464,Die,Firma,Company,Empresa
465,Die,Flasche,Bottle,Botella
466,Die,Frage,Question,Pregunta
467,Die,Frau,Woman,Mujer
468,Die,Freizeit,Free Time,Tiempo Libre
469,Die,Frist,Term,Plazo
470,Die,Führung,Guide,Guía
471,Die,Gabel,Fork,Tenedor
472,Die,Garage,Garage,Garaje
473,Die,Garantie,Warranty,Garantia
474,Die,Gebühr,Share,Cuota
475,Die,Geldbörse,Wallet,Cartera
476,Die,Geschwister,Brothers,Hermanos
477,Die,Grenze,Border,Frontera
478,Die,Grippe,Flu,Gripe
479,Die,Größe,Size,Tamaño
480,Die,Großeltern,Grandparents,Abuelos
481,Die,Großmutter,Grandmother,Abuela
482,Die,Gruppe,Group,Grupo
483,Die,Halbpension,Half Pension,Media Pensión
484,Die,Halle,Room,Sala
485,Die,Haltestelle,Stop,Parada
486,Die,Hand,Hand,Mano
487,Die,Hausaufgabe,Task,Tarea
488,Die,Hausfrau,Domestic Employee,Empleada Domestica
489,Die,Heimat,Homeland,Patria
490,Die,Heizung,Heating,Calefacción
491,Die,Hilfe,Help,Ayuda
492,Die,Hochzeit,Wedding,Boda
493,Die,Hose,Pants,Pantalón
494,Die,Idee,Idea,Idea
495,Die,Industrie,Industry,Industria
496,Die,Information,Information,Información
497,Die,Jacke,Jacket,Campera
498,Die,Kamera,Camera,Cámara
499,Die,Kanne,Jug,Jarra
500,Die,Karte,Card,Tarjeta
501,Die,Kartoffel,Father,Papa
502,Die,Kasse,Box,Caja
503,Die,Kassette,Cassette,Cassette
504,Die,Katze,Cat,Gato
505,Die,Kenntnisse,Knowledge,Conocimientos
506,Die,Kette,Necklace,Collar
507,Die,Kirche,Church,Iglesia
508,Die,Klasse,Class,Clase
509,Die,Kleidung,Clothing,Ropa
510,Die,Kneipe,Pub,Pub
511,Die,Kontrolle,Control,Control
512,Die,Kosmetik,Cosmetic,Cosmetico
513,Die,Krankenkasse,Health Insurance,Seguro Medico
514,Die,Krankheit,Disease,Enfermedad
515,Die,Kreditkarte,Credit Card,Tarjeta De Crédito
516,Die,Kreuzung,Crossroads,Encrucijada
517,Die,Küche,Kitchen,Cocina
518,Die,Kündigung,Termination,Terminación
519,Die,Lampe,Lamp,Lámpara
520,Die,Landschaft,Landscape,Paisaje
521,Die,Lebensmittel,Foods,Alimentos
522,Die,Lehre,Teaching,Enseñanza
523,Die,Leute,People,Gente
524,Die,Lösung,Solution,Solución
525,Die,Luft,Air,Aire
526,Die,Lust,Wish,Deseo
527,Die,Maschine,Machine,Máquina
528,Die,Mehrwertsteuer,Value Added,Valor Agregado
529,Die,Meinung,Opinion,Opinión
530,Die,Menge,Quantity,Cantidad
531,Die,Miete,Rental,Alquiler
532,Die,Milch,Milk,Leche
533,Die,Mitte,Half,Mitad
534,Die,Mitteilung,Release,Comunicado
535,Die,Möbel,Furniture,Muebles
536,Die,Mode,Fashion,Moda
537,Die,Mülltonne,Trash Can,Bote De Basura
538,Die,Musik,Music,Música
539,Die,Mutter,Mother,Madre
540,Die,Nachrichten,News,Noticias
541,Die,Nähe,Closeness,Cercanía
542,Die,Natur,Nature,Naturaleza
543,Die,Note,Note,Nota
544,Die,Notiz,Note,Apunte
545,Die,Nudel,Noodle,Fideo
546,Die,Nummer,Number,Número
547,Die,Oma,Grandmother,Abuela
548,Die,Operation,Operation,Operación
549,Die,Orange,Orange,Naranja
550,Die,Ordnung,Order,Órden
551,Die,Panne,Breakdown,Desglose
552,Die,Papiere,Documentation,Documentación
553,Die,Partnerin,Partner,Compañera
554,Die,Party,Party,Fiesta
555,Die,Pause,Pause,Pausa
556,Die,Pension,Retirement,Jubilación
557,Die,Polizei,Policeman,Policía
558,Die,Pommesfrites,Potato Chips,Papas Fritas
559,Die,Post,Mail,Correo
560,Die,Postleitzahl,Postal Code,Código Postal
561,Die,Praxis,Consulting Room,Consultorio
562,Die,Prüfung,Exam,Exámen
563,Die,Qualität,Quality,Calidad
564,Die,Quittung,Receipt,Recibo
565,Die,Rechnung,Bill,Cuenta
566,Die,Reinigung,Cleaning,Limpieza
567,Die,Reise,Trip,Viaje
568,Die,Reparatur,Arrangement,Arreglo
569,Die,Rezeption,Reception,Recepción
570,Die,Rose,Rose,Rosa
571,Die,S-Bahn,Metropolitan Train,Tren Metropolitano
572,Die,Sache,Thing,Cosa
573,Die,Schmerzen,Pain,Dolor
574,Die,Schokolade,Chocolate,Chocolate
575,Die,Schule,School,Colegio
576,Die,Schwester,Sister,Hermana
577,Die,Sehenswürdigkeit,Attraction,Atracción
578,Die,Seife,Soap,Jabón
579,Die,Sekretärin,Secretary,Secretaria
580,Die,Sendung,Transmission,Trasmisión
581,Die,Senioren(Pl.),Adults,Adultos
582,Die,Sonne,Sun,Sol
583,Die,Sorge,Concern,Preocupación
584,Die,Speisekarte,Menu,Menú
585,Die,Sprache,Tongue,Lengua
586,Die,Sprechstunde,Query,Consulta
587,Die,Spülmaschine,Dishwasher,Lavavajillas
588,Die,Stadt,City,Ciudad
589,Die,Stelle,Place,Lugar
590,Die,Steuer,Tax,Impuesto
591,Die,Straße,Street,Calle
592,Die,Straßenbahn,Trolley Car,Tranvía
593,Die,Stunde,Time,Hora
594,Die,Suppe,Soup,Sopa
595,Die,Tankstelle,Fuel Station,Gasolinera
596,Die,Tasche,Bag,Bolsa
597,Die,Tasse,Cup,Taza
598,Die,Tochter,Daughter,Hija
599,Die,Toilette,Bathroom,Baño
600,Die,Tomate,Tomato,Tomate
601,Die,Treppe,Stairs,Escalera
602,Die,Tür,Door,Puerta
603,Die,Tüte,Handbag,Bolso
604,Die,U-Bahn,Subway,Subte
605,Die,Uhr,Watch,Reloj
606,Die,Universität,College,Universidad
607,Die,Unterkunft,Accommodation,Alojamiento
608,Die,Unterschrift,Firm,Firma
609,Die,Untersuchung,Investigation,Investigación
610,Die,Verbindung,Connection,Conexión
611,Die,Versicherung,Sure,Seguro
612,Die,Verspätung,Delay,Retraso
613,Die,Vorsicht,Attention,Atención
614,Die,Vorwahl,Characteristic,Característica
615,Die,Wäsche,Laundry,Lavandería
616,Die,Welt,World,Mundo
617,Die,Werkstatt,Workshop,Taller
618,Die,Wirtschaft,Economy,Economía
619,Die,Wohnung,Department,Departamento
620,Die,Wolke,Cloud,Nube
621,Die,Wurst,Sausage,Salchicha
622,Die,Zahl,Number,Número
623,Die,Zeit,Weather,Tiempo
624,Die,Zeitschrift,Magazine,Revista
625,Die,Zeitung,Newspaper,Periódico
626,Die,Zigarette,Cigarette,Cigarillo
627,Die,Zitrone,Lemon,Limón
